month,rain_days
2010-01,10
2010-02,4
2010-03,11
2010-04,18
2010-05,17
2010-06,19
2010-07,18
2010-08,16
2010-09,13
2010-10,17
2010-11,21
2010-12,14
2011-01,17
2011-02,8
2011-03,22
2011-04,12
2011-05,15
2011-06,15
2011-07,7
2011-08,13
2011-09,14
2011-10,20
2011-11,24
2011-12,21
2012-01,16
2012-02,11
2012-03,21
2012-04,20
2012-05,19
2012-06,8
2012-07,17
2012-08,12
2012-09,10
2012-10,13
2012-11,22
2012-12,22
2013-01,15
2013-02,22
2013-03,10
2013-04,19
2013-05,17
2013-06,12
2013-07,15
2013-08,15
2013-09,19
2013-10,19
2013-11,22
2013-12,21
2014-01,5
2014-02,1
2014-03,6
2014-04,17
2014-05,18
2014-06,11
2014-07,15
2014-08,20
2014-09,9
2014-10,10
2014-11,23
2014-12,17
2015-01,6
2015-02,6
2015-03,5
2015-04,13
2015-05,12
2015-06,10
2015-07,13
2015-08,11
2015-09,8
2015-10,9
2015-11,13
2015-12,19
2016-01,15
2016-02,10
2016-03,6
2016-04,14
2016-05,12
2016-06,13
2016-07,20
2016-08,15
2016-09,15
2016-10,16
2016-11,20
2016-12,23
2017-01,21
2017-02,15
2017-03,11
2017-04,21
2017-05,15
2017-06,10
2017-07,9
2017-08,18
2017-09,19
2017-10,18
2017-11,24
2017-12,23
2018-01,25
2018-02,5
2018-03,10
2018-04,14
2018-05,19
2018-06,17
2018-07,10
2018-08,11
2018-09,13
2018-10,18
2018-11,27
2018-12,19
2019-01,9
2019-02,5
2019-03,6
2019-04,9
2019-05,13
2019-06,16
2019-07,8
2019-08,6
2019-09,4
2019-10,15
2019-11,15
2019-12,14