Data Series,2010 Jan ,2010 Feb ,2010 Mar ,2010 Apr ,2010 May ,2010 Jun ,2010 Jul ,2010 Aug ,2010 Sep ,2010 Oct ,2010 Nov ,2010 Dec ,2011 Jan ,2011 Feb ,2011 Mar ,2011 Apr ,2011 May ,2011 Jun ,2011 Jul ,2011 Aug ,2011 Sep ,2011 Oct ,2011 Nov ,2011 Dec ,2012 Jan ,2012 Feb ,2012 Mar ,2012 Apr ,2012 May ,2012 Jun ,2012 Jul ,2012 Aug ,2012 Sep ,2012 Oct ,2012 Nov ,2012 Dec ,2013 Jan ,2013 Feb ,2013 Mar ,2013 Apr ,2013 May ,2013 Jun ,2013 Jul ,2013 Aug ,2013 Sep ,2013 Oct ,2013 Nov ,2013 Dec ,2014 Jan ,2014 Feb ,2014 Mar ,2014 Apr ,2014 May ,2014 Jun ,2014 Jul ,2014 Aug ,2014 Sep ,2014 Oct ,2014 Nov ,2014 Dec ,2015 Jan ,2015 Feb ,2015 Mar ,2015 Apr ,2015 May ,2015 Jun ,2015 Jul ,2015 Aug ,2015 Sep ,2015 Oct ,2015 Nov ,2015 Dec ,2016 Jan ,2016 Feb ,2016 Mar ,2016 Apr ,2016 May ,2016 Jun ,2016 Jul ,2016 Aug ,2016 Sep ,2016 Oct ,2016 Nov ,2016 Dec ,2017 Jan ,2017 Feb ,2017 Mar ,2017 Apr ,2017 May ,2017 Jun ,2017 Jul ,2017 Aug ,2017 Sep ,2017 Oct ,2017 Nov ,2017 Dec ,2018 Jan ,2018 Feb ,2018 Mar ,2018 Apr ,2018 May ,2018 Jun ,2018 Jul ,2018 Aug ,2018 Sep ,2018 Oct ,2018 Nov ,2018 Dec ,2019 Jan ,2019 Feb ,2019 Mar ,2019 Apr ,2019 May ,2019 Jun ,2019 Jul ,2019 Aug ,2019 Sep ,2019 Oct ,2019 Nov ,2019 Dec 
Total Casualties Fatalities,18,7,23,19,18,17,16,20,14,13,14,14,20,15,17,16,15,16,19,19,15,19,12,12,17,17,15,15,11,10,9,15,11,15,14,19,19,19,14,10,13,17,11,13,7,9,16,12,15,18,12,13,20,11,12,9,17,11,7,10,12,14,12,15,7,16,12,12,12,14,14,11,13,8,10,13,11,11,16,12,8,15,11,13,8,11,9,10,13,9,7,16,11,3,15,9,10,12,6,12,9,11,11,9,9,13,8,14,8,9,13,12,6,11,9,4,10,9,15,12
  Pedestrians,5,3,9,9,4,3,5,4,3,3,3,4,5,5,5,2,2,4,3,7,5,3,5,3,4,2,6,6,0,5,1,3,3,7,4,3,5,5,3,2,1,4,1,6,1,2,7,6,2,3,3,2,5,4,4,3,5,6,5,3,5,2,3,5,1,5,4,3,4,3,5,3,2,4,6,4,4,6,4,0,3,6,3,5,3,4,2,6,4,0,0,7,4,1,6,4,3,4,2,5,3,3,5,0,4,1,6,3,4,3,3,5,2,4,1,3,3,3,4,4
  Cyclists & Pillions,2,0,2,0,3,1,1,3,1,1,1,1,2,2,2,1,1,0,0,2,3,1,1,0,4,1,2,1,3,0,1,2,0,0,1,1,3,1,0,0,4,1,1,0,0,0,3,2,1,2,2,2,2,2,2,1,1,0,0,0,2,3,1,1,1,2,1,0,2,1,1,2,2,0,0,0,1,1,3,5,1,5,2,0,1,2,0,0,2,3,1,1,1,2,2,0,0,1,1,1,1,1,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,1,4,0
  Motor Cyclists & Pillion Riders,10,4,9,9,7,10,6,11,7,6,6,4,11,7,9,9,8,9,12,9,6,9,4,6,8,11,5,6,2,2,5,8,5,7,6,11,5,10,5,4,8,10,4,7,6,5,5,4,9,11,4,7,11,5,4,3,8,4,2,6,3,8,8,7,3,7,6,7,6,7,6,4,7,3,4,9,5,3,8,6,2,3,5,7,4,4,6,2,4,4,4,4,5,0,4,3,7,5,3,2,4,7,6,5,5,7,2,8,3,4,10,5,4,6,8,0,7,4,6,7
  Motor Cars And Station Wagons,0,0,0,0,2,0,2,1,2,3,2,2,0,0,0,2,4,3,1,0,0,3,0,2,0,0,0,2,5,1,1,1,0,0,1,3,4,2,3,2,0,1,2,0,0,2,0,0,2,1,2,0,2,0,0,2,2,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,2,1,1,0,0,2,0,1,0,3,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
  Goods Vans,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Pick-Ups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Lorries,0,0,2,1,1,3,0,0,0,0,1,1,2,1,1,2,0,0,3,0,0,2,2,1,1,1,1,0,1,2,1,0,0,0,1,1,1,1,3,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
  Tipper Trucks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
  Trailers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Buses,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
  Others,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Casualties Injured,857,840,950,947,1012,849,1027,1055,970,1040,929,838,956,790,893,883,866,841,914,907,910,927,837,887,855,863,910,866,889,701,899,897,794,847,849,883,858,797,759,832,810,765,809,784,831,821,829,856,801,666,739,790,848,823,893,926,855,877,815,825,827,828,879,890,891,827,892,872,799,873,856,978,895,880,809,851,880,831,1025,947,844,912,919,829,884,708,838,841,776,802,901,820,801,812,865,905,888,747,865,817,795,851,820,862,795,849,937,871,875,740,743,822,818,819,871,761,802,903,844,835
  Pedestrians,114,70,97,90,88,69,106,90,84,88,85,76,99,71,80,105,87,83,92,93,84,89,86,80,83,82,99,98,97,84,105,94,94,88,71,74,90,76,90,79,83,87,96,71,88,78,82,69,69,65,65,86,67,62,69,95,76,73,77,79,78,63,88,84,94,66,121,87,61,63,78,90,89,78,86,75,109,70,88,112,83,95,89,91,73,69,82,78,66,73,84,72,66,71,88,81,92,80,88,63,61,58,88,69,77,66,59,76,108,83,88,89,80,70,83,71,70,86,80,71
  Cyclists & Pillions,41,45,52,47,50,35,46,62,47,45,46,46,36,54,56,34,50,45,32,51,43,50,28,34,34,46,31,35,34,28,37,46,37,43,36,35,33,31,36,43,28,37,51,45,37,37,24,34,42,36,43,37,53,45,34,51,40,45,29,48,55,50,50,51,45,52,46,60,52,44,57,44,76,53,40,54,33,57,60,47,38,59,38,39,45,43,51,50,50,49,48,41,45,55,59,53,46,47,57,57,36,34,35,46,32,32,43,34,44,34,28,26,37,39,45,48,31,42,38,40
  Motor Cyclists & Pillion Riders,417,436,460,440,481,424,455,518,483,500,437,439,469,383,436,412,391,392,444,429,429,405,414,399,371,442,402,403,393,331,415,439,373,428,389,414,404,322,334,371,369,355,363,385,363,379,378,360,371,307,351,356,420,388,428,454,378,403,404,374,401,386,441,412,419,358,420,430,376,422,428,435,379,396,438,429,415,387,449,478,431,435,468,397,435,351,439,418,378,373,447,395,396,382,394,395,424,357,391,399,411,437,392,414,387,414,436,377,409,375,406,424,416,422,444,384,438,421,448,423
  Motor Cars And Station Wagons,181,224,220,206,269,223,237,273,258,275,273,200,253,204,233,253,258,236,239,256,276,291,212,271,271,229,239,229,239,188,224,219,270,209,239,226,247,260,240,241,240,210,204,259,248,239,208,215,228,181,205,230,196,242,249,231,252,230,229,213,197,235,263,190,233,240,210,224,227,255,211,261,202,261,189,206,235,203,245,281,198,231,225,222,198,187,196,213,194,226,209,203,205,167,221,266,230,189,227,218,170,209,220,211,191,206,252,214,200,188,149,196,164,199,192,200,195,203,201,202
  Goods Vans,30,22,26,27,21,21,15,21,19,22,18,16,22,31,22,17,12,15,17,20,18,26,22,18,16,18,19,14,12,15,26,21,10,17,16,29,27,13,18,20,21,14,11,18,20,22,10,12,9,12,5,15,22,23,12,15,26,16,16,14,15,25,26,10,7,17,26,15,11,17,16,18,22,21,19,13,23,22,12,18,16,22,21,15,28,10,13,11,24,23,15,18,17,13,12,12,8,12,21,10,2,19,15,20,8,21,24,11,11,9,14,13,9,15,8,6,13,15,13,21
  Pick-Ups,0,1,1,2,2,3,1,2,2,3,3,4,3,0,1,2,2,0,3,2,0,0,2,3,1,11,1,0,0,2,0,1,2,1,0,2,3,1,2,4,2,1,2,1,2,1,1,0,0,1,5,0,0,0,0,0,0,0,0,2,2,4,1,1,1,1,0,1,3,0,0,2,1,4,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,2,2,1,1,0,0,2,4,0,0,0,1,0,1,0,0,4,0
  Lorries,48,25,34,33,48,57,81,47,33,75,31,43,48,31,32,31,45,33,65,27,33,45,50,46,47,37,72,23,42,35,61,44,56,40,34,35,39,41,48,53,30,30,45,52,48,79,67,54,50,42,22,42,55,32,39,35,52,72,31,48,47,36,39,33,63,28,42,35,42,38,45,66,61,45,29,36,25,63,47,44,33,34,42,34,62,23,35,36,19,27,35,48,48,78,40,46,59,32,35,25,26,44,20,59,46,59,65,30,58,16,21,32,63,30,38,16,17,51,26,48
  Tipper Trucks,1,1,1,2,1,0,1,2,0,2,5,1,0,1,2,2,2,2,2,4,6,5,5,2,2,4,3,1,3,2,9,3,3,0,4,1,3,2,2,4,2,1,11,4,2,3,6,0,5,1,5,3,2,6,3,5,2,3,3,0,3,3,4,2,1,1,2,1,6,2,2,2,2,2,3,3,2,2,0,6,3,1,6,2,0,1,3,2,1,2,1,3,3,1,3,1,1,3,2,0,2,9,0,5,7,2,0,1,1,1,4,1,0,2,0,1,2,4,2,2
  Trailers,0,0,3,0,0,1,1,1,0,1,0,1,0,1,0,0,1,2,2,3,3,0,0,0,2,0,0,0,0,0,2,2,0,2,2,3,1,2,0,1,1,1,4,4,3,2,2,0,0,1,0,5,0,5,5,0,1,1,2,0,0,1,0,0,3,1,3,0,0,1,0,2,1,3,0,0,1,1,2,1,2,1,0,3,1,0,1,0,1,0,0,1,1,1,0,0,2,0,3,0,0,1,0,3,4,0,2,0,1,2,1,0,2,1,1,1,1,1,2,0
  Buses,25,29,55,92,49,11,81,35,39,28,25,12,25,13,26,24,16,28,15,18,17,14,17,32,28,31,44,19,65,13,17,25,24,16,15,23,11,21,27,15,32,13,24,17,19,29,17,18,22,18,35,15,27,20,49,38,25,33,18,42,28,23,42,28,24,61,21,18,15,29,16,53,51,17,64,30,35,21,41,33,38,33,29,23,37,18,12,24,37,14,51,27,13,25,33,42,11,13,30,35,62,25,37,16,29,36,33,23,28,18,17,28,24,22,28,11,13,52,17,18
  Others,0,1,1,8,3,5,3,4,5,1,6,0,1,1,5,3,2,5,3,4,1,2,1,2,0,0,0,7,4,3,3,3,2,3,5,2,0,1,4,1,2,1,3,0,1,1,0,2,5,2,3,1,6,0,5,2,3,1,6,5,1,2,4,0,1,2,1,1,6,2,3,5,11,0,3,4,2,5,3,5,2,1,0,2,2,1,2,2,0,5,1,0,0,5,4,0,0,1,4,1,6,2,1,3,5,0,2,2,1,2,2,0,0,6,5,0,4,2,0,0